artifact_schema_version,benchmark_version,evidence_kind,prediction_id,draw_key,game,history_sha256,history_rows,created_utc,rank,main_numbers,auxiliary_numbers,g_score,target_g,distance_to_target,preference_score,window,pairing,subset_size,universe_size,universe_fraction,reduction_factor,selected_for_roi,selection_budget,crowd_popularity_share,modeled_expected_roi_per_ticket,candidate_sha256
1,3.0.0,deterministic_synthetic_snapshot,636a86dcd1e54f4eb99f3c9b3f5571b3d5eade536040955e3f830f0ddb67408b,synthetic-community-next,synthetic-community,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,260,,1,"[4,6,7,10]",[1],231,231.1153846153846,0.1153846153846132,-0.1153846153846132,26,cross,500,1980,0.25252525252525254,3.96,1,5,1.2932264427596272,-0.9613933387717912,1d82b5881c16b4a9c5c0e19f2fc739d60d908f8344ce67fc8d5694ffb9b5685b
1,3.0.0,deterministic_synthetic_snapshot,636a86dcd1e54f4eb99f3c9b3f5571b3d5eade536040955e3f830f0ddb67408b,synthetic-community-next,synthetic-community,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,260,,2,"[1,7,10,11]",[1],231,231.1153846153846,0.1153846153846132,-0.1153846153846132,26,cross,500,1980,0.25252525252525254,3.96,1,5,0.9651697118665071,-0.9485913307807307,234ee29f310145195877f933a744780f0a87caeca7847ec0d10a689e2b98b34b
1,3.0.0,deterministic_synthetic_snapshot,636a86dcd1e54f4eb99f3c9b3f5571b3d5eade536040955e3f830f0ddb67408b,synthetic-community-next,synthetic-community,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,260,,3,"[4,5,10,11]",[1],231,231.1153846153846,0.1153846153846132,-0.1153846153846132,26,cross,500,1980,0.25252525252525254,3.96,1,5,0.8239332106967083,-0.940261396424989,01e51921299819ddd7d7ff3c927121a0c066b8ea0de2c748c449ef8ad5ca9564
1,3.0.0,deterministic_synthetic_snapshot,636a86dcd1e54f4eb99f3c9b3f5571b3d5eade536040955e3f830f0ddb67408b,synthetic-community-next,synthetic-community,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,260,,4,"[2,3,7,8]",[1],231,231.1153846153846,0.1153846153846132,-0.1153846153846132,26,cross,500,1980,0.25252525252525254,3.96,1,5,1.437543391853668,-0.9652428885730021,b09c1bfe39dcd6961b7d67a18afa88526469e3d08d59df45fcce63d22bab1902
1,3.0.0,deterministic_synthetic_snapshot,636a86dcd1e54f4eb99f3c9b3f5571b3d5eade536040955e3f830f0ddb67408b,synthetic-community-next,synthetic-community,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,260,,5,"[2,3,10,11]",[1],231,231.1153846153846,0.1153846153846132,-0.1153846153846132,26,cross,500,1980,0.25252525252525254,3.96,1,5,0.8752801643043162,-0.9435624666677364,90a9679aa501055dac50047e7ea4d069ea66ab0107acf55c9fc9310bcf710b85
1,3.0.0,deterministic_synthetic_snapshot,636a86dcd1e54f4eb99f3c9b3f5571b3d5eade536040955e3f830f0ddb67408b,synthetic-community-next,synthetic-community,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,260,,6,"[2,4,9,10]",[1],231,231.1153846153846,0.1153846153846132,-0.1153846153846132,26,cross,500,1980,0.25252525252525254,3.96,0,5,0.8886093038622499,-0.9443649726813691,316a0a3e535330a78132cf50db76ed0a074b48c088ba3deea75b2e1a0127d5da
1,3.0.0,deterministic_synthetic_snapshot,636a86dcd1e54f4eb99f3c9b3f5571b3d5eade536040955e3f830f0ddb67408b,synthetic-community-next,synthetic-community,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,260,,7,"[2,5,8,9]",[1],231,231.1153846153846,0.1153846153846132,-0.1153846153846132,26,cross,500,1980,0.25252525252525254,3.96,0,5,0.9021414252408628,-0.9451583302141527,f5bd7de51ea8a14a469f761e58d5250c419ef23bcbe0cbeaab45b9d20834b711
1,3.0.0,deterministic_synthetic_snapshot,636a86dcd1e54f4eb99f3c9b3f5571b3d5eade536040955e3f830f0ddb67408b,synthetic-community-next,synthetic-community,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,260,,8,"[2,7,8,10]",[1],231,231.1153846153846,0.1153846153846132,-0.1153846153846132,26,cross,500,1980,0.25252525252525254,3.96,0,5,1.2932264427596272,-0.9613933387717912,7d77431602840ca4f61c98ad19d7140bab5845b6cb2ae1ddec1390a5b6108ef0
1,3.0.0,deterministic_synthetic_snapshot,636a86dcd1e54f4eb99f3c9b3f5571b3d5eade536040955e3f830f0ddb67408b,synthetic-community-next,synthetic-community,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,260,,9,"[2,9,10,11]",[1],231,231.1153846153846,0.1153846153846132,-0.1153846153846132,26,cross,500,1980,0.25252525252525254,3.96,0,5,0.7994005993482138,-0.9385566945115713,db7be70959b5fbc2ea2d4809f88b76637a35ea655b71c55b6ccadcca6c5c154b
1,3.0.0,deterministic_synthetic_snapshot,636a86dcd1e54f4eb99f3c9b3f5571b3d5eade536040955e3f830f0ddb67408b,synthetic-community-next,synthetic-community,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,260,,10,"[1,2,4,8]",[1],231,231.1153846153846,0.1153846153846132,-0.1153846153846132,26,cross,500,1980,0.25252525252525254,3.96,0,5,1.0335906002435147,-0.9518864864744587,053549c0faaa7a259316ebb8455a9e537f0d86c263a69d9d3227b028e3751147
