contest_number,draw_date,agent,contest_rank,roi_alpha_vs_house_pp,beats_house,win_rate_vs_house_pct,mean_roi_alpha_vs_house_pp,expected_roi_pct,pair_coverage_pct,number_coverage_pct,hit_recall_pct,unpopularity_lift_x,anomaly_index,best_main_hits,best_auxiliary_hits,actual_main,actual_auxiliary,ticket_set_json,evaluation_scope
1,2025-09-10,uniform_random,4,0.0,False,0.0,0.0,-86.13815141682348,8.89795918367347,66.0,13.333333333333334,1.0042753187769866,64.28571428571429,2,1,20 23 26 29 43,3 7,"[{""auxiliary"":[2,9],""main"":[8,20,24,29,31]},{""auxiliary"":[5,11],""main"":[11,15,21,22,49]},{""auxiliary"":[2,10],""main"":[4,29,37,45,49]},{""auxiliary"":[3,12],""main"":[5,20,34,47,50]},{""auxiliary"":[3,12],""main"":[4,12,18,48,49]},{""auxiliary"":[1,8],""main"":[15,20,21,39,43]},{""auxiliary"":[1,11],""main"":[8,10,15,17,19]},{""auxiliary"":[5,6],""main"":[4,25,29,35,39]},{""auxiliary"":[3,6],""main"":[10,11,16,46,47]},{""auxiliary"":[8,11],""main"":[9,10,11,15,34]},{""auxiliary"":[6,9],""main"":[4,13,26,37,49]},{""auxiliary"":[4,6],""main"":[16,25,35,44,47]}]",synthetic_forward_replay
1,2025-09-10,frequency,7,-0.3882865976106986,False,0.0,-0.3882865976106986,-86.52643801443418,9.46938775510204,72.0,15.0,0.9761443920645444,35.714285714285715,2,2,20 23 26 29 43,3 7,"[{""auxiliary"":[4,6],""main"":[9,15,25,29,39]},{""auxiliary"":[8,9],""main"":[4,12,16,21,50]},{""auxiliary"":[4,7],""main"":[4,12,33,39,42]},{""auxiliary"":[2,3],""main"":[11,19,20,27,43]},{""auxiliary"":[1,6],""main"":[7,20,22,36,48]},{""auxiliary"":[7,11],""main"":[2,3,10,16,29]},{""auxiliary"":[3,11],""main"":[4,7,9,23,29]},{""auxiliary"":[4,5],""main"":[9,26,36,40,45]},{""auxiliary"":[5,6],""main"":[3,13,20,31,35]},{""auxiliary"":[3,7],""main"":[3,9,34,37,45]},{""auxiliary"":[7,8],""main"":[10,15,24,28,35]},{""auxiliary"":[6,8],""main"":[1,4,13,33,37]}]",synthetic_forward_replay
1,2025-09-10,unpopularity,1,0.43933648802778613,True,100.0,0.43933648802778613,-85.69881492879568,5.3061224489795915,28.000000000000004,10.0,1.0361047525582765,92.85714285714286,1,1,20 23 26 29 43,3 7,"[{""auxiliary"":[5,12],""main"":[38,39,45,48,50]},{""auxiliary"":[4,8],""main"":[38,40,44,47,50]},{""auxiliary"":[3,6],""main"":[37,40,45,46,50]},{""auxiliary"":[8,11],""main"":[34,43,44,46,50]},{""auxiliary"":[10,12],""main"":[37,40,43,46,50]},{""auxiliary"":[2,11],""main"":[37,41,43,45,50]},{""auxiliary"":[1,11],""main"":[34,40,44,47,50]},{""auxiliary"":[8,12],""main"":[38,40,41,46,50]},{""auxiliary"":[1,5],""main"":[37,38,44,47,48]},{""auxiliary"":[3,6],""main"":[36,38,43,46,50]},{""auxiliary"":[2,8],""main"":[36,39,43,46,48]},{""auxiliary"":[3,6],""main"":[38,40,41,43,50]}]",synthetic_forward_replay
1,2025-09-10,gingerm,3,0.052781718341976536,True,100.0,0.052781718341976536,-86.0853696984815,5.959183673469388,36.0,8.333333333333332,1.008099294828624,64.28571428571429,2,1,20 23 26 29 43,3 7,"[{""auxiliary"":[1,3],""main"":[9,18,24,27,49]},{""auxiliary"":[1,5],""main"":[9,18,25,49,50]},{""auxiliary"":[1,5],""main"":[7,9,25,43,49]},{""auxiliary"":[1,5],""main"":[9,16,21,27,49]},{""auxiliary"":[1,5],""main"":[9,22,24,25,49]},{""auxiliary"":[1,5],""main"":[9,21,24,31,49]},{""auxiliary"":[1,5],""main"":[7,9,27,49,50]},{""auxiliary"":[1,5],""main"":[9,24,25,27,31]},{""auxiliary"":[1,5],""main"":[9,21,25,37,49]},{""auxiliary"":[1,6],""main"":[1,5,24,29,43]},{""auxiliary"":[1,6],""main"":[1,24,29,31,49]},{""auxiliary"":[1,6],""main"":[1,16,24,29,39]}]",synthetic_forward_replay
1,2025-09-10,spectral_contrarian,2,0.3118112430822606,True,100.0,0.3118112430822606,-85.82634017374122,8.89795918367347,78.0,5.000000000000001,1.0268656921796195,67.85714285714286,1,2,20 23 26 29 43,3 7,"[{""auxiliary"":[3,8],""main"":[7,18,26,38,48]},{""auxiliary"":[7,12],""main"":[4,15,23,35,42]},{""auxiliary"":[3,11],""main"":[1,8,19,33,40]},{""auxiliary"":[3,7],""main"":[6,17,25,37,47]},{""auxiliary"":[7,11],""main"":[3,14,22,34,41]},{""auxiliary"":[3,11],""main"":[8,19,32,38,49]},{""auxiliary"":[2,7],""main"":[5,16,23,36,47]},{""auxiliary"":[7,11],""main"":[2,13,21,34,40]},{""auxiliary"":[3,11],""main"":[6,17,31,38,48]},{""auxiliary"":[2,7],""main"":[4,15,22,35,46]},{""auxiliary"":[6,11],""main"":[12,19,33,39,50]},{""auxiliary"":[2,11],""main"":[6,16,30,37,47]}]",synthetic_forward_replay
1,2025-09-10,parallax,5,-0.355620665052403,False,0.0,-0.355620665052403,-86.49377208187587,9.795918367346939,100.0,8.333333333333332,0.9785110020903494,37.50000000000001,2,1,20 23 26 29 43,3 7,"[{""auxiliary"":[3,11],""main"":[39,43,46,48,50]},{""auxiliary"":[1,10],""main"":[38,40,44,45,47]},{""auxiliary"":[4,12],""main"":[32,34,35,36,41]},{""auxiliary"":[2,8],""main"":[22,27,37,42,49]},{""auxiliary"":[7,9],""main"":[7,14,23,31,33]},{""auxiliary"":[5,6],""main"":[13,15,20,29,48]},{""auxiliary"":[1,5],""main"":[5,16,21,25,30]},{""auxiliary"":[9,12],""main"":[9,10,18,24,26]},{""auxiliary"":[4,8],""main"":[3,4,19,28,31]},{""auxiliary"":[2,10],""main"":[1,2,17,25,35]},{""auxiliary"":[7,11],""main"":[6,11,18,37,50]},{""auxiliary"":[3,6],""main"":[8,12,15,16,22]}]",synthetic_forward_replay
1,2025-09-10,coordinated_aggregation,6,-0.355620665052403,False,0.0,-0.355620665052403,-86.49377208187587,9.795918367346939,100.0,8.333333333333332,0.9785110020903494,37.50000000000001,2,1,20 23 26 29 43,3 7,"[{""auxiliary"":[3,11],""main"":[39,43,46,48,50]},{""auxiliary"":[1,10],""main"":[38,40,44,45,47]},{""auxiliary"":[4,12],""main"":[32,34,35,36,41]},{""auxiliary"":[2,8],""main"":[22,27,37,42,49]},{""auxiliary"":[7,9],""main"":[7,14,23,31,33]},{""auxiliary"":[5,6],""main"":[13,15,20,29,48]},{""auxiliary"":[1,5],""main"":[5,16,21,25,30]},{""auxiliary"":[9,12],""main"":[9,10,18,24,26]},{""auxiliary"":[4,8],""main"":[3,4,19,28,31]},{""auxiliary"":[2,10],""main"":[1,2,17,25,35]},{""auxiliary"":[7,11],""main"":[6,11,18,37,50]},{""auxiliary"":[3,6],""main"":[8,12,15,16,22]}]",synthetic_forward_replay
2,2025-09-17,uniform_random,7,0.0,False,0.0,0.0,-86.32826081485803,9.306122448979593,72.0,5.000000000000001,0.990502106988671,21.42857142857143,1,1,11 13 28 35 40,2 3,"[{""auxiliary"":[2,11],""main"":[17,21,22,35,50]},{""auxiliary"":[2,8],""main"":[8,16,25,31,42]},{""auxiliary"":[10,11],""main"":[21,22,32,34,37]},{""auxiliary"":[10,11],""main"":[9,15,26,31,36]},{""auxiliary"":[1,5],""main"":[2,5,23,28,50]},{""auxiliary"":[1,2],""main"":[5,8,9,30,33]},{""auxiliary"":[6,11],""main"":[4,8,15,31,50]},{""auxiliary"":[10,12],""main"":[1,10,15,22,37]},{""auxiliary"":[8,9],""main"":[18,21,25,40,44]},{""auxiliary"":[10,12],""main"":[1,7,14,41,44]},{""auxiliary"":[3,6],""main"":[6,7,20,25,29]},{""auxiliary"":[5,11],""main"":[1,5,12,15,36]}]",synthetic_forward_replay
2,2025-09-17,frequency,3,0.37208001763255893,True,50.0,-0.00810328998906984,-85.95618079722547,8.979591836734693,66.0,3.3333333333333335,1.0174588852333848,60.71428571428572,1,1,11 13 28 35 40,2 3,"[{""auxiliary"":[8,10],""main"":[6,22,36,45,49]},{""auxiliary"":[8,10],""main"":[27,32,37,38,43]},{""auxiliary"":[9,11],""main"":[3,9,26,31,50]},{""auxiliary"":[5,6],""main"":[1,5,20,28,33]},{""auxiliary"":[4,7],""main"":[4,7,29,34,38]},{""auxiliary"":[6,9],""main"":[1,22,26,30,45]},{""auxiliary"":[2,8],""main"":[15,19,20,43,48]},{""auxiliary"":[2,8],""main"":[1,7,33,42,43]},{""auxiliary"":[3,4],""main"":[5,7,26,37,39]},{""auxiliary"":[7,10],""main"":[1,15,25,43,48]},{""auxiliary"":[6,9],""main"":[3,6,31,49,50]},{""auxiliary"":[4,10],""main"":[5,11,16,29,45]}]",synthetic_forward_replay
2,2025-09-17,unpopularity,1,0.6294027302733096,True,100.0,0.5343696091505479,-85.69885808458471,5.714285714285714,32.0,11.666666666666668,1.0361016259699638,100.0,1,1,11 13 28 35 40,2 3,"[{""auxiliary"":[3,8],""main"":[40,43,45,48,50]},{""auxiliary"":[1,10],""main"":[40,43,44,45,50]},{""auxiliary"":[2,8],""main"":[32,40,46,47,50]},{""auxiliary"":[8,12],""main"":[36,40,44,47,48]},{""auxiliary"":[6,12],""main"":[33,38,45,48,50]},{""auxiliary"":[4,7],""main"":[34,40,44,47,48]},{""auxiliary"":[2,12],""main"":[32,40,43,48,50]},{""auxiliary"":[4,6],""main"":[33,41,45,46,47]},{""auxiliary"":[11,12],""main"":[37,39,43,44,48]},{""auxiliary"":[1,6],""main"":[32,34,46,47,48]},{""auxiliary"":[1,6],""main"":[33,40,43,44,45]},{""auxiliary"":[1,9],""main"":[32,38,44,45,46]}]",synthetic_forward_replay
